ingreident_name,:START_ID(Ingredient),portion,value,:END_ID(Recipe),,,,
Egg,1,4.000,whole,1,,,,
Can Cannellini Beans,2,3.000,cups,1,,,,
Can Diced Tomatoes,3,2.000,15 oz cans,1,,,,
Sourdough,4,4.000,whole,1,,,,There can and should be duplicates on this page
Garlic,5,8.000,cloves,1,,,,
Carrot,6,4.000,whole,1,,,,
Lacinato Kale,26,2.000,whole,1,,,,
Yellow Onion,13,2.000,whole,1,,,,
Parsley,7,2.000,whole,1,,,,
Vegetable Demi-Glace,8,6.000,tablespoons,1,,,,
Parmesan Cheese,9,1.000,cups,1,,,,
Red Pepper Flakes,10,0.250,teaspoons,1,,,,
Butter,11,3.000,tablespoons,2,,,,
Red Beets,12,2.500,pounds,2,,,,
Yellow Onion,13,1.000,whole,2,,,,
Carrot,6,1.000,whole,2,,,,
Celery,14,1.000,whole,2,,,,
Can Chopped Tomatoes,15,1.000,14 oz cans,2,,,,
Garlic,5,1.000,cloves,2,,,,
Vegetable Stock,16,3.000,cups,2,,,,
Bay Leaves,17,2.000,whole,2,,,,
Cloves,18,4.000,whole,2,,,,
Lemon,19,2.000,tablespoons,2,,,,
Sour Cream,21,0.750,cups,2,,,,
Dried Cannellini Beans,23,1.000,cups,3,,,,
Celery,14,2.000,whole,3,,,,
Carrot,6,2.000,whole,3,,,,
Yellow Onion,13,1.000,whole,3,,,,
Can Chopped Tomatoes,15,1.000,15 oz can,3,,,,
Vegetable Stock,16,2.500,cups,3,,,,
Small Short-Cut Pasta,25,0.750,cups,3,,,,
Parsley,7,0.250,cups,3,,,,
Parmesan Cheese,9,0.330,cups,3,,,,
Wild Rice,27,6.000,oz,4,,,,
Golden Beets,28,6.000,whole,4,,,,
Pecans,29,0.750,cups,4,,,,
Apple Cider Vinegar,30,2.000,tablespoons,4,,,,
Shallot,31,0.500,whole,4,,,,
Green Grapes,32,1.000,cups,4,,,,
Arugula,33,2.500,oz,4,,,,
Sweet Curry Powder,37,2.000,tablespoons,5,,,,
Garam Masala,38,1.500,teaspoons,5,,,,
Vegetable Oil,39,0.250,cups,5,,,,
Yellow Onion,13,2.000,whole,5,,,,
Red Bliss Potatoes,40,12.000,oz,5,,,,
Garlic,5,3.000,cloves,5,,,,
